strain,bpTIC,ascr_total,anglas#3,anglas#7,ascr#1,ascr#10,ascr#11,ascr#12,ascr#15,ascr#18,ascr#22,ascr#3,ascr#5,ascr#7,ascr#8,ascr#81,ascr#9,bhas#10,bhas#11,bhas#12,bhas#16,bhas#18,bhas#22,bhas#26,bhos#10,bhos#18,bhos#22,glas#1,glas#3,icas#10,icas#3,icas#9,iglas#2,iglu#1,iglu#2,osas#10,osas#2,osas#9,oscr#1,oscr#10,oscr#11,oscr#12,oscr#14,oscr#18,oscr#19,oscr#21,oscr#3,oscr#7,oscr#9,uglas#11
LSJ1,13090542541,12163916,67245,3883,1391360,304526,363788,206516,194853,62109,1000,1591290,3814060,270815,1000,77871,334571,3034,31896,21518,1000,9364,4868,4696,3034,2789,4525,1000,12403,1000,6598,11834,11167,3068210,1000,3844,1000,1000,3159,8958,5518,50366,2348,55368,5075,1000,7431,4897,138129,1000
MY1,12631920510,138997946,1000,3975,8450730,2006730,4182050,1467160,5150030,625493,22858,2.27E+07,6.55E+07,2128820,53713,3125140,1710580,54807,1036430,180601,12090,83221,86048,1000,54807,8972,86048,20349,114766,30493,317826,1356570,1000,1.30E+07,1000,217528,76091,149520,97851,131614,51485,602857,2253,768004,7811,7932,25930,2136870,1192650,11643
MY10,10151816790,47627048,32946,23714,4553000,915710,2016030,801943,372761,359502,6668,9168620,2.23E+07,2485180,234831,1140130,1200840,23363,292628,77672,3148,52498,65199,14186,23363,29652,4735,2617,3741,16942,130953,314161,1000,46662,1000,28681,1000,36696,33146,39521,19449,145650,2650,274006,5247,4374,16355,30878,304167,2833
MY16,19583643488,389932189,339778,192472,3.37E+07,6356390,1.44E+07,4616060,8645770,3237540,40699,5.35E+07,1.78E+08,3960740,22886,1.11E+07,5773590,190486,1129100,295501,23077,427948,466321,1000,17904,258792,24130,131559,478556,145415,1171030,4565360,63185,4.59E+07,4112,319558,983995,323323,351149,404068,23020,1631900,2668,3273150,4560,7667,195561,142947,2160140,905382
MY23,14637484051,68642593,90856,78356,4199060,1014080,1931830,960785,257847,487187,8691,1.21E+07,2.37E+07,1189350,5901,1243880,1296750,31313,150561,72030,3658,78283,87288,42317,31313,30368,3831,27508,186073,14951,115480,221137,4380,1.78E+07,1000,36594,167242,30225,32197,16578,4592,159648,1772,306870,6042,1000,9444,38167,361991,15367
N2 W1,12095390558,129673114,354026,62801,1.27E+07,3077230,3563060,1679510,591169,922468,12579,2.20E+07,5.30E+07,2184900,52174,1735930,1608760,84039,276552,133227,5028,154689,195874,75603,84039,113290,42754,39719,521719,35953,166793,234408,260916,2.06E+07,3806,51603,150125,19392,126572,148538,10699,553452,2850,933547,5138,3346,49323,59028,824115,192670
N2 W5,8154628166,29337463,37186,1000,2760810,619125,699476,358759,640420,196112,2823,5283930,1.05E+07,422170,2607,152174,524508,16328,64967,30396,1000,18856,38266,1000,16328,14939,3072,1000,72432,1000,41581,35862,22091,5429180,1000,2828,9278,2741,22725,30332,2596,115955,4277,190579,3209,1000,2267,422170,524508,1000
N2 W6,12971028672,147875090,354902,53817,1.80E+07,3575550,4088840,2258970,292489,1022910,39272,2.85E+07,5.70E+07,4126930,175135,1818820,2137180,100489,573608,238002,13050,177560,239013,131813,100489,107761,56949,46607,483653,54094,312161,365189,109125,1.89E+07,4183,125323,185563,41260,125886,123867,17475,606242,2197,4824,4854,13638,14353,55207,1082440,1000
N2 W7,50049868035,91678180,328343,34015,1.09E+07,2278150,2486620,1036470,260943,686111,3923,1.71E+07,3.49E+07,1093010,1000,800683,1208600,24612,125824,110171,1000,96563,120050,49902,24612,71390,31567,24211,436791,11714,66700,147923,124706,1.52E+07,1000,17786,113028,7255,94048,73963,8439,345882,4682,687306,4435,4076,7465,59636,553306,9769
N2 W8,37549197806,597698619,2888410,980779,6.32E+07,2.34E+07,1.79E+07,9492890,236411,7167500,87955,1.41E+08,2.02E+08,6952200,46115,1.75E+07,7168430,658158,2247200,845563,69887,1460560,1813350,734284,39491,786401,315588,192277,3607710,552549,2345050,7648490,854148,5.52E+07,6568,423728,1895570,141075,705073,857780,132782,3087810,47178,5355240,6726,15051,257250,342702,3858970,1394620
