Strain,feature,rep,value
ECA3128,ascr#9,3,61790.45364
ECA3128,oscr#9,3,72864.1261
ECA3128,ascr#12,3,297746.5542
ECA3128,oscr#12,3,40130.91788
ECA3128,ascr#18,3,351223.9053
ECA3128,oscr#18,3,326311.9089
ECA3128,iglu#1,3,31845167.78
ECA3128,ascr#7,3,248563.8294
ECA3128,iglu#2,3,3328244.051
ECA3128,ascr#1,3,2968835.436
ECA3128,ascr#3,3,11128460.68
ECA3128,ascr#10,3,782167.8398
ECA3128,nacq#1,3,6112784.669
ECA3128,ascr#5,3,43750739
ECA3128,ascr#9,4,138132.8289
ECA3128,oscr#9,4,154656.362
ECA3128,ascr#12,4,304918.6346
ECA3128,oscr#12,4,60990.30279
ECA3128,ascr#18,4,236073.9607
ECA3128,oscr#18,4,7589.290636
ECA3128,iglu#1,4,28302746.39
ECA3128,ascr#7,4,195694.7547
ECA3128,iglu#2,4,1299879.504
ECA3128,ascr#1,4,3175858.428
ECA3128,ascr#3,4,9593460.17
ECA3128,ascr#10,4,705617.471
ECA3128,nacq#1,4,2650456.984
ECA3128,ascr#5,4,36514333
ECA3128,ascr#9,5,62109.02373
ECA3128,oscr#9,5,77466.16401
ECA3128,ascr#12,5,207337.2489
ECA3128,oscr#12,5,43997.83984
ECA3128,ascr#18,5,302544.3987
ECA3128,oscr#18,5,355171.0379
ECA3128,iglu#1,5,30201487.5
ECA3128,ascr#7,5,211854.2686
ECA3128,iglu#2,5,7864407.64
ECA3128,ascr#1,5,3434229.205
ECA3128,ascr#3,5,8293812.574
ECA3128,ascr#10,5,771687.9016
ECA3128,nacq#1,5,2549455.342
ECA3128,ascr#5,5,40746112
ECA3129,ascr#9,1,107833.9694
ECA3129,oscr#9,1,93337.06614
ECA3129,ascr#12,1,199704.8457
ECA3129,oscr#12,1,38493.26971
ECA3129,ascr#18,1,296612.0193
ECA3129,oscr#18,1,362600.4647
ECA3129,iglu#1,1,25141538.23
ECA3129,ascr#7,1,259704.3273
ECA3129,iglu#2,1,1059719.659
ECA3129,ascr#1,1,3081653.581
ECA3129,ascr#3,1,9000291.498
ECA3129,ascr#10,1,771331.7956
ECA3129,nacq#1,1,2869553.752
ECA3129,ascr#5,1,50243490
ECA3129,ascr#9,2,32562.47762
ECA3129,oscr#9,2,33330.84945
ECA3129,ascr#12,2,79649.80595
ECA3129,oscr#12,2,19802.90347
ECA3129,ascr#18,2,139971.0059
ECA3129,oscr#18,2,159667.7755
ECA3129,iglu#1,2,19752695.82
ECA3129,ascr#7,2,108074.7653
ECA3129,iglu#2,2,942280.1893
ECA3129,ascr#1,2,1506174.105
ECA3129,ascr#3,2,4588632.362
ECA3129,ascr#10,2,379017.1313
ECA3129,nacq#1,2,1267004.015
ECA3129,ascr#5,2,24931822
ECA3129,ascr#9,3,99851.92385
ECA3129,oscr#9,3,83443.55566
ECA3129,ascr#12,3,262384.4202
ECA3129,oscr#12,3,48720.304
ECA3129,ascr#18,3,449955.3109
ECA3129,oscr#18,3,427100.8185
ECA3129,iglu#1,3,29932303.03
ECA3129,ascr#7,3,288596.9232
ECA3129,iglu#2,3,3475141.991
ECA3129,ascr#1,3,3531637.94
ECA3129,ascr#3,3,10566702.93
ECA3129,ascr#10,3,905184.729
ECA3129,nacq#1,3,3005091.159
ECA3129,ascr#5,3,46165615
ECA3129,ascr#9,4,142409.8424
ECA3129,oscr#9,4,127664.1141
ECA3129,ascr#12,4,438616.263
ECA3129,oscr#12,4,181028.7929
ECA3129,ascr#18,4,689345.122
ECA3129,oscr#18,4,948817.9518
ECA3129,iglu#1,4,22508488.63
ECA3129,ascr#7,4,397804.4783
ECA3129,iglu#2,4,6032748.214
ECA3129,ascr#1,4,4480601.339
ECA3129,ascr#3,4,12538222.31
ECA3129,ascr#10,4,1485162.113
ECA3129,nacq#1,4,4764202.029
ECA3129,ascr#5,4,98770769
ECA3129,ascr#9,5,80217.42476
ECA3129,oscr#9,5,83440.76925
ECA3129,ascr#12,5,282044.9219
ECA3129,oscr#12,5,60689.7407
ECA3129,ascr#18,5,362807.4804
ECA3129,oscr#18,5,460898.6184
ECA3129,iglu#1,5,32144638.59
ECA3129,ascr#7,5,236718.2292
ECA3129,iglu#2,5,3123089.763
ECA3129,ascr#1,5,3750846.056
ECA3129,ascr#3,5,9098603.551
ECA3129,ascr#10,5,904488.0685
ECA3129,nacq#1,5,4859708.305
ECA3129,ascr#5,5,55991914
ECA3130,ascr#9,1,115642.1056
ECA3130,oscr#9,1,86247.30865
ECA3130,ascr#12,1,145172.9449
ECA3130,oscr#12,1,26382.87518
ECA3130,ascr#18,1,166180.3476
ECA3130,oscr#18,1,244722.9417
ECA3130,iglu#1,1,18545118.57
ECA3130,ascr#7,1,256917.6479
ECA3130,iglu#2,1,80365.39347
ECA3130,ascr#1,1,3121147.572
ECA3130,ascr#3,1,5207703.816
ECA3130,ascr#10,1,1029782.715
ECA3130,nacq#1,1,561391.9403
ECA3130,ascr#5,1,26160347
ECA3130,ascr#9,2,44939.40127
ECA3130,oscr#9,2,41761.43804
ECA3130,ascr#12,2,97772.07611
ECA3130,oscr#12,2,24624.19825
ECA3130,ascr#18,2,182424.3234
ECA3130,oscr#18,2,232890.5468
ECA3130,iglu#1,2,23622033.71
ECA3130,ascr#7,2,154127.8327
ECA3130,iglu#2,2,2184177.399
ECA3130,ascr#1,2,2074483.278
ECA3130,ascr#3,2,5714475.861
ECA3130,ascr#10,2,468348.4532
ECA3130,nacq#1,2,1464964.091
ECA3130,ascr#5,2,29524060
ECA3130,ascr#9,3,139688.243
ECA3130,oscr#9,3,78895.02933
ECA3130,ascr#12,3,313498.5206
ECA3130,oscr#12,3,70137.58428
ECA3130,ascr#18,3,505333.9735
ECA3130,oscr#18,3,423090.1925
ECA3130,iglu#1,3,28780135.62
ECA3130,ascr#7,3,311601.8046
ECA3130,iglu#2,3,2780683.754
ECA3130,ascr#1,3,3889672.991
ECA3130,ascr#3,3,13151877.27
ECA3130,ascr#10,3,884707.3087
ECA3130,nacq#1,3,4504506.786
ECA3130,ascr#5,3,54707415
ECA3130,ascr#9,4,141745.111
ECA3130,oscr#9,4,97144.4421
ECA3130,ascr#12,4,338592.8875
ECA3130,oscr#12,4,93080.11021
ECA3130,ascr#18,4,420624.657
ECA3130,oscr#18,4,500982.6055
ECA3130,iglu#1,4,24588847.95
ECA3130,ascr#7,4,288988.0281
ECA3130,iglu#2,4,1271169.277
ECA3130,ascr#1,4,3431899.099
ECA3130,ascr#3,4,11138268.56
ECA3130,ascr#10,4,769364.9285
ECA3130,nacq#1,4,826251.09
ECA3130,ascr#5,4,49887287
ECA3130,ascr#9,5,68481.58976
ECA3130,oscr#9,5,64689.21488
ECA3130,ascr#12,5,243709.6804
ECA3130,oscr#12,5,44822.74177
ECA3130,ascr#18,5,313115.4508
ECA3130,oscr#18,5,389117.8378
ECA3130,iglu#1,5,27192420.45
ECA3130,ascr#7,5,251273.2151
ECA3130,iglu#2,5,8906832.978
ECA3130,ascr#1,5,3659144.349
ECA3130,ascr#3,5,8245138.22
ECA3130,ascr#10,5,822696.0263
ECA3130,nacq#1,5,2314373.336
ECA3130,ascr#5,5,36948904
ECA3131,ascr#9,1,75649.1622
ECA3131,oscr#9,1,87877.49552
ECA3131,ascr#12,1,136611.9414
ECA3131,oscr#12,1,20367.00885
ECA3131,ascr#18,1,164314.8979
ECA3131,oscr#18,1,213064.3415
ECA3131,iglu#1,1,19676599.7
ECA3131,ascr#7,1,209846.675
ECA3131,iglu#2,1,774626.3642
ECA3131,ascr#1,1,1767374.641
ECA3131,ascr#3,1,5124740.066
ECA3131,ascr#10,1,481190.0025
ECA3131,nacq#1,1,860793.3216
