strain	ascr.1	ascr.3	ascr.5	ascr.7	ascr.8	ascr.9	ascr.10	ascr.11	ascr.12	ascr.15	ascr.18	ascr.22	ascr.81	anglas.3	anglas.7	bhas.10	bhas.11	bhas.12	bhas.16	bhas.18	bhas.22	bhas.26	bhos.10	bhos.18	bhos.22	glas.1	glas.3	icas.3	icas.9	icas.10	iglas.2	osas.2	osas.9	osas.10	oscr.1	oscr.9	oscr.10	oscr.11	oscr.12	oscr.14	oscr.18	oscr.19	oscr.21	uglas.11
BRC20067	0.07841268019145804	0.21379936771303915	0.5256880057779396	0.0126075255168958	3.5721821554636696e-4	0.015814339824321295	0.023152415760171054	0.039353180320806654	0.013600224174510657	0.001034339608642372	0.013259848532780694	4.326999648452754e-4	0.01167887856545981	0.0014279507055719803	6.539000799022274e-4	6.210313639208493e-4	0.0026627624630993453	0.0017892334585484964	1.2135169880866058e-4	0.0020163747291120897	0.0026498522705105192	6.569895982378609e-4	5.6037166694127745e-5	0.001261113778643271	4.5029436061407783e-4	1.676034329036146e-5	4.4827383911700956e-5	0.0021750062242634604	0.003506133422223749	3.600492950858638e-4	4.131760885189528e-4	9.022274581400221e-4	3.3358574972237214e-4	5.790556171801559e-4	0.0012680563844849418	0.00999033344924705	0.001746555815531932	2.8716074416182646e-4	0.005736489600927974	2.140930481631944e-5	0.008735583725958642	1.6005584533462408e-5	2.457106854269112e-4	6.425728249397386e-5
CB4856	0.13271735645249277	0.22905794658279363	0.3579945091177544	0.010988322516039628	4.63987337001182e-4	0.027794486986109805	0.035981554335871434	0.0344159016544044	0.026272356138136953	0.012523218518941392	0.008821088206812999	1.0421788942985825e-4	0.03381432656505436	0.002168836219568572	0.001722870918781692	7.761637013929539e-4	0.005848376326670815	0.001884818605677318	8.430625285302139e-5	0.0013105544530549898	0.0012829296726684523	3.354204103738171e-4	1.0220405928570356e-4	3.9819132160953056e-4	1.3097524081490927e-4	3.9237431657192354e-4	4.033479472816842e-4	0.0029207293446787265	0.033316407061912114	7.723430907406778e-4	1.4641896419313453e-4	0.003281453400045656	0.005556717491475009	0.0038760650832154173	7.631435484912438e-4	0.010370791527895917	6.602812893099399e-4	1.382917211113674e-4	0.00470376670822182	1.1727509331906903e-4	0.003918536412240463	4.195915360959536e-5	1.3572866456426142e-4	0.0014894496975273981
CB4932	0.07321502195720145	0.2636204508360723	0.506595926606669	0.02275790885967671	4.2346020009300403e-4	0.017934766261880113	0.01275895984771504	0.03303831240478101	0.010006127110984432	0.0036161420709685944	0.004958525991975965	1.0886254159525755e-4	0.013739866136075985	2.1251619717399512e-4	3.041640057146561e-4	4.896194048028279e-4	0.004274907344557869	0.001288135278835321	4.68958548987302e-5	8.471268499366628e-4	8.979452500978333e-4	2.5423492755630606e-4	4.896194048028279e-4	2.6315990908461163e-4	7.297204648143085e-5	4.586201807045139e-4	0.005436568329992076	0.001431316121289419	0.004410560711488093	1.1313446335880595e-4	6.198097937157267e-4	0.0013815934928817237	0.0012571836969871581	9.705043970779547e-4	2.626834865831007e-4	0.003938457773990819	5.027686658445308e-4	5.817118743448992e-5	0.002179585302162555	3.360366710657403e-5	0.00425065743923096	6.129969519441199e-5	1.5880750050365797e-5	4.019735452748591e-4
CX11254	0.09408551675942876	0.1147681088056825	0.6042561205670209	0.01104211146067846	4.332597492669643e-4	0.029905122056086485	0.019415884668675824	0.05028708654383262	0.012022831310589349	0.0019197095288108102	0.008162810769125579	1.9970462014229785e-4	0.007855370121473325	3.258440991632148e-4	1.9266037261595614e-4	1.6450365956161502e-4	0.0026849370466507623	9.089674771512106e-4	2.16721121363098e-5	9.371890767688341e-4	0.0014219322585901496	4.6881353053549504e-4	1.6450365956161502e-4	6.576090972259454e-4	3.5159595396590324e-4	1.8016970918410095e-4	0.0013850645244151511	0.0012977799305697551	0.0036599184911213687	4.7126299829940426e-4	1.942947029286307e-5	0.002253928050047655	5.76022354718782e-4	8.128866985708491e-4	0.001222835949978624	0.008396929600268761	0.0013519845433717604	5.022666093177591e-4	0.004940422374217194	1.992828574809625e-5	0.010209900732480081	2.1440953754616376e-5	1.990800869707051e-5	4.055410205147792e-6
CX11264	0.08874293378122611	0.2300775116066278	0.4599153490172888	0.006507024866877988	0.009611194365505804	0.023192624175605785	0.043119331158711055	0.04707168820382231	0.016070575888834183	0.006329115358979962	0.009452329239665679	1.2103546896321186e-4	0.013305998815167374	9.954576233835474e-4	3.504749289940903e-4	3.022809825618561e-4	0.008001425867135573	0.0018538475173979984	8.670375981121706e-5	8.051757448288592e-4	0.0010811897310489531	1.0137570721296577e-4	3.022809825618561e-4	1.6187724749214152e-4	0.0010811897310489531	1.6492175754901652e-4	0.0039495068654835375	0.0013163295503352572	0.0029577415202540727	1.8396613960691553e-4	1.0124615359352429e-4	0.0020051337565007983	5.282548832726748e-4	4.547655926444896e-4	8.652562358448501e-4	0.006182298719747894	5.88367762693526e-4	1.3188558459143663e-4	0.0033487991205382096	0.0029303085413373373	0.005356394395808396	1.6220113154074526e-4	1.0024211304285274e-4	3.238840486037245e-5
CX11271	0.07817814672166991	0.1826292771776715	0.581209664561923	0.011858535490059071	6.408044813251632e-6	0.016711091505342	0.01733747788583735	0.03435859059924447	0.012188485717493399	0.0020785454558503655	0.007143432036020389	9.593483889919018e-5	0.010267353882480559	1.9898260754108968e-4	9.67807008145394e-5	3.422344493413299e-4	0.0024920950359183726	0.0015537394017346834	6.706018897067832e-5	0.0010510218780902796	0.001262346379941692	5.693483736125942e-4	1.113397786302471e-4	8.652013945956088e-4	4.922019221058579e-4	2.657480264503584e-4	0.0025519077262052634	9.819303389138005e-4	0.002561494161245888	1.3306305054717012e-4	0.0012814679856644347	0.0035136270917780683	1.8583970762911056e-4	2.3337458405381118e-4	8.61209182676953e-4	0.00832789503930182	0.0012928486732527696	1.258219599081958e-4	0.0039842082706840155	2.4984966726868112e-5	0.010394233169782942	3.6692464600678845e-5	3.546852804134778e-5	4.288904393509317e-5
CX11276	0.06984582971208496	0.19299870196263938	0.5355900271646604	0.024012596704854547	2.328652292020263e-5	0.019876537649859836	0.014429144629659756	0.037474302739794484	0.015624441851153756	0.015927492660437272	0.006172931214824834	1.036716000407421e-4	0.023727103933852862	1.3713433347707329e-4	2.3225977960610102e-4	7.230465366722917e-4	0.0025442622077384187	0.0012513245956400085	8.567111782342547e-5	0.0013023220808352522	0.0016452627038810762	4.709932125840184e-4	7.230465366722917e-4	7.613994399218654e-4	1.0227440866552994e-4	2.328652292020263e-5	0.0031913481066450098	0.0019318033684141696	0.00359017638469932	2.328652292020263e-5	9.797338788216851e-4	0.0023188020928250172	2.1193064509676413e-4	1.5094324156875343e-4	5.938994805568478e-4	0.009739238913530946	8.459295181222009e-4	2.982072125161149e-4	0.004140390348257868	5.3861727514428676e-5	0.005872255630879178	1.2707455557554574e-4	2.328652292020263e-5	9.948002591510562e-5
CX11285	0.07696703590797473	0.23514043479166202	0.5042770770230824	0.038936800719850805	5.377255677874225e-4	0.014768991284836138	0.015933361389647863	0.03539005194478846	0.012402666379209846	0.003931283654769835	0.006884241449942025	2.0567705501053812e-4	0.004366425666607787	0.0011378719497906235	4.3151574971104405e-4	6.585915286267189e-4	0.007022086627719289	0.0021913577580030025	7.719972106111796e-5	0.001208895693166852	0.0015797943163346159	5.267145739333229e-4	3.1729793610441144e-5	8.166644498306399e-4	2.4369614699733456e-4	3.408497531473996e-4	0.0016074917820070634	0.0027090538935738337	0.005125390997700392	3.823062394419938e-4	5.5508252036361024e-5	0.0020658834223774274	0.0016898570379208335	0.0020448435473285993	6.615567533867423e-4	0.006773187172305481	8.008562133711522e-4	1.0483108299687711e-4	0.003240159644301459	1.9528932495950082e-5	0.006515259835138225	1.138211911865021e-4	7.227971437330848e-5	9.443390955488434e-6
CX11292	0.05751202528213414	0.17907372519718362	0.5852864235256234	0.023326692198556945	0.0022409853739721957	0.01919591875196373	0.01529740222656697	0.03940631700654801	0.011290455029403136	0.013248670719105038	0.006919281546155726	9.278062174671404e-5	0.008597221380696272	1.929663891128175e-4	2.5447235805461886e-5	3.879685570900719e-4	0.0026669466541198224	0.001025574497431725	2.5447235805461886e-5	0.0010310965476015102	0.0010206631809212708	4.6436115897806855e-4	3.879685570900719e-4	7.972364505493155e-4	1.044863502172265e-4	1.5672952532583978e-4	0.0022791562276803885	0.0022437336754391854	0.002470519440937462	2.5447235805461886e-5	2.2838894135402045e-4	0.0015159936258745865	2.5447235805461886e-5	8.545181783474102e-5	6.747080101460165e-4	0.008380512720576959	0.0010580451703194943	1.668575251764136e-4	0.003413339527529825	5.315927559760988e-5	0.007477059507775645	7.649439083121844e-5	2.5447235805461886e-5	2.5447235805461886e-5
CX11314	0.06511601077576588	0.1732002399099439	0.6099660622915416	0.011615975307368928	5.689251358780984e-5	0.01420568286554124	0.012191313872420503	0.03626135283645013	0.009289858433152312	0.007972206231182359	0.007719296228687773	1.1630772632213407e-4	0.011629241441686667	0.0020676845452321465	4.899684178148044e-4	3.5597669598302456e-4	0.00222853485499199	0.0010977757524784828	1.2550742022459704e-5	9.319176966516778e-4	0.0010967214901485963	1.9813856430857133e-4	5.3980741438599185e-5	6.165677525953554e-4	1.8470927034453945e-4	2.8017021416736797e-4	0.004061344814015825	0.0011680850092883022	0.002177541190154736	1.0520031963225724e-4	6.378161588393796e-4	0.0023579957589536615	4.215794245344214e-5	7.615790259228548e-5	7.864169443853026e-4	0.005592673398918157	8.437738354279434e-4	4.1655912772543753e-05	0.003497389771978621	4.31996540413063e-5	0.008950712282221407	7.099954762105454e-5	6.07957943567948e-5	5.309465905181353e-4
