strain	ascr.1	ascr.3	ascr.5	ascr.7	ascr.10	ascr.12	ascr.18	ascr.81	anglas.7	bhas.10	bhas.12	bhas.18	bhas.22	icas.3	icas.9	icas.10	iglas.2	osas.2	osas.9	osas.10	oscr.9	oscr.12	oscr.18
BRC20067	0.07841268019145804	0.21379936771303915	0.5256880057779396	0.0126075255168958	0.023152415760171054	0.013600224174510657	0.013259848532780694	0.01167887856545981	6.539000799022274e-4	6.210313639208493e-4	0.0017892334585484964	0.0020163747291120897	0.0026498522705105192	0.0021750062242634604	0.003506133422223749	3.600492950858638e-4	4.131760885189528e-4	9.022274581400221e-4	3.3358574972237214e-4	5.790556171801559e-4	0.00999033344924705	0.005736489600927974	0.008735583725958642
CB4856	0.13271735645249277	0.22905794658279363	0.3579945091177544	0.010988322516039628	0.035981554335871434	0.026272356138136953	0.008821088206812999	0.03381432656505436	0.001722870918781692	7.761637013929539e-4	0.001884818605677318	0.0013105544530549898	0.0012829296726684523	0.0029207293446787265	0.033316407061912114	7.723430907406778e-4	1.4641896419313453e-4	0.003281453400045656	0.005556717491475009	0.0038760650832154173	0.010370791527895917	0.00470376670822182	0.003918536412240463
CB4932	0.07321502195720145	0.2636204508360723	0.506595926606669	0.02275790885967671	0.01275895984771504	0.010006127110984432	0.004958525991975965	0.013739866136075985	3.041640057146561e-4	4.896194048028279e-4	0.001288135278835321	8.471268499366628e-4	8.979452500978333e-4	0.001431316121289419	0.004410560711488093	1.1313446335880595e-4	6.198097937157267e-4	0.0013815934928817237	0.0012571836969871581	9.705043970779547e-4	0.003938457773990819	0.002179585302162555	0.00425065743923096
CX11254	0.09408551675942876	0.1147681088056825	0.6042561205670209	0.01104211146067846	0.019415884668675824	0.012022831310589349	0.008162810769125579	0.007855370121473325	1.9266037261595614e-4	1.6450365956161502e-4	9.089674771512106e-4	9.371890767688341e-4	0.0014219322585901496	0.0012977799305697551	0.0036599184911213687	4.7126299829940426e-4	1.942947029286307e-5	0.002253928050047655	5.76022354718782e-4	8.128866985708491e-4	0.008396929600268761	0.004940422374217194	0.010209900732480081
CX11264	0.08874293378122611	0.2300775116066278	0.4599153490172888	0.006507024866877988	0.043119331158711055	0.016070575888834183	0.009452329239665679	0.013305998815167374	3.504749289940903e-4	3.022809825618561e-4	0.0018538475173979984	8.051757448288592e-4	0.0010811897310489531	0.0013163295503352572	0.0029577415202540727	1.8396613960691553e-4	1.0124615359352429e-4	0.0020051337565007983	5.282548832726748e-4	4.547655926444896e-4	0.006182298719747894	0.0033487991205382096	0.005356394395808396
CX11271	0.07817814672166991	0.1826292771776715	0.581209664561923	0.011858535490059071	0.01733747788583735	0.012188485717493399	0.007143432036020389	0.010267353882480559	9.67807008145394e-5	3.422344493413299e-4	0.0015537394017346834	0.0010510218780902796	0.001262346379941692	9.819303389138005e-4	0.002561494161245888	1.3306305054717012e-4	0.0012814679856644347	0.0035136270917780683	1.8583970762911056e-4	2.3337458405381118e-4	0.00832789503930182	0.0039842082706840155	0.010394233169782942
CX11276	0.06984582971208496	0.19299870196263938	0.5355900271646604	0.024012596704854547	0.014429144629659756	0.015624441851153756	0.006172931214824834	0.023727103933852862	2.3225977960610102e-4	7.230465366722917e-4	0.0012513245956400085	0.0013023220808352522	0.0016452627038810762	0.0019318033684141696	0.00359017638469932	2.328652292020263e-5	9.797338788216851e-4	0.0023188020928250172	2.1193064509676413e-4	1.5094324156875343e-4	0.009739238913530946	0.004140390348257868	0.005872255630879178
CX11285	0.07696703590797473	0.23514043479166202	0.5042770770230824	0.038936800719850805	0.015933361389647863	0.012402666379209846	0.006884241449942025	0.004366425666607787	4.3151574971104405e-4	6.585915286267189e-4	0.0021913577580030025	0.001208895693166852	0.0015797943163346159	0.0027090538935738337	0.005125390997700392	3.823062394419938e-4	5.5508252036361024e-5	0.0020658834223774274	0.0016898570379208335	0.0020448435473285993	0.006773187172305481	0.003240159644301459	0.006515259835138225
CX11292	0.05751202528213414	0.17907372519718362	0.5852864235256234	0.023326692198556945	0.01529740222656697	0.011290455029403136	0.006919281546155726	0.008597221380696272	2.5447235805461886e-5	3.879685570900719e-4	0.001025574497431725	0.0010310965476015102	0.0010206631809212708	0.0022437336754391854	0.002470519440937462	2.5447235805461886e-5	2.2838894135402045e-4	0.0015159936258745865	2.5447235805461886e-5	8.545181783474102e-5	0.008380512720576959	0.003413339527529825	0.007477059507775645
CX11314	0.06511601077576588	0.1732002399099439	0.6099660622915416	0.011615975307368928	0.012191313872420503	0.009289858433152312	0.007719296228687773	0.011629241441686667	4.899684178148044e-4	3.5597669598302456e-4	0.0010977757524784828	9.319176966516778e-4	0.0010967214901485963	0.0011680850092883022	0.002177541190154736	1.0520031963225724e-4	6.378161588393796e-4	0.0023579957589536615	4.215794245344214e-5	7.615790259228548e-5	0.005592673398918157	0.003497389771978621	0.008950712282221407
DL226	0.06706568869832326	0.2059767930919077	0.546193634095438	0.02083909831599056	0.008833350284986649	0.014619877641261726	0.005738314581395494	0.025779132079138272	1.9260960948504666e-4	6.62179876550295e-4	8.998415825381682e-4	0.0012460033399492132	0.0010526053365319873	0.00342607592333004	0.01303399838741479	7.072816915893852e-5	1.2311019843662193e-4	0.0013345875662748089	9.421378516023858e-4	0.0012499311043140348	0.008888395807278453	0.002970554694083267	0.004447933896507031
DL238	0.05312336693464729	0.19674364608978026	0.44787645923344843	0.018620321278027468	0.12895026005818327	0.015850779517718273	0.00994625775493197	0.023730765079989093	0.0012406748835915961	7.663825146636935e-4	9.767542450667735e-4	0.001423319754149655	0.0015484033323978719	0.0016420760824006064	0.006497200883684066	0.0016081435920639552	2.188905503554644e-4	0.0012661199676598978	7.243224475303661e-4	0.0013120182158244036	0.008194319452092803	0.0023652990509897493	0.0047720498859583314
ECA36	0.05146516387707614	0.2028833319782258	0.5274115967568134	0.017858624531311856	0.01557255045853079	0.017317219513963672	0.00921872937937623	0.049338504212734155	0.0017015148775240537	7.551768468078404e-4	0.0011529132438717366	0.001945076955561813	0.0029916402029391354	4.253319328683979e-6	4.253319328683979e-6	5.276242627232476e-5	4.253319328683979e-6	0.0051119369015654136	0.0018667776000400697	0.003007228618278762	0.0073020560902913685	0.003677555997798686	0.0057794528370090775
ED3005	0.06893507520176823	0.26458761036247697	0.5087395922823236	0.018650307408318644	0.014211473798700993	0.010363208339887523	0.008749256183458166	0.007053948714639304	2.900353455705103e-4	4.1046573066110605e-4	0.00135846377852081	0.0010462396426991702	0.0012220183140875425	0.0015227447200117236	0.0018201153806337465	1.075559391717386e-5	9.098156894537368e-5	0.0018468860538935921	9.685412322415061e-5	8.231256024813155e-5	0.006991716848234537	0.0031061294785284734	0.010178663859456654
ED3011	0.07793968968860653	0.21439452094980332	0.5420540718353518	0.021732525359939074	0.011692308588470566	0.009924949377610683	0.006652055208126313	0.02301808344970978	9.501520198734822e-4	2.5078091181666144e-4	0.00110156309381973	8.408310400872853e-4	0.0010018696415780716	0.0032585540076585768	0.004783303569575735	4.3718278965377346e-4	0.0013996726074309708	6.318772857540383e-4	5.692579049181335e-4	9.488373364902994e-4	0.004707476677213394	0.0030660439085642157	0.008155810287708952
ED3012	0.0648244833856291	0.2430918126961091	0.5409984459021252	0.006681759792443062	0.016817592085460614	0.010487409785261963	0.008215978953454045	0.012972785244773114	3.6510721989809635e-4	3.4581478633167475e-4	0.001921860038644782	0.0015412330747831852	0.0019281375272196992	0.0016964495804427165	0.003077876004161932	9.841166883980817e-5	3.447876042603804e-4	0.003637082503485609	3.9446413116075e-4	6.585142713161688e-4	0.006427299862623812	0.003274422884485933	0.006337641882294129
