strain	bhas.12	bhas.10	bhas.18	bhas.22
BRC20067	178.92334585484963	62.10313639208493	201.637472911209	264.98522705105194
CB4856	188.48186056773181	77.61637013929538	131.05544530549898	128.29296726684524
CB4932	128.81352788353212	48.96194048028279	84.71268499366629	89.79452500978333
CX11254	90.89674771512105	16.4503659561615	93.7189076768834	142.19322585901497
CX11264	185.38475173979984	30.228098256185607	80.51757448288592	108.11897310489532
CX11271	155.37394017346836	34.22344493413299	105.10218780902795	126.23463799416919
CX11276	125.13245956400085	72.30465366722916	130.23220808352522	164.52627038810763
CX11285	219.13577580030025	65.85915286267189	120.8895693166852	157.9794316334616
CX11292	102.5574497431725	38.79685570900719	103.10965476015102	102.06631809212708
CX11314	109.77757524784828	35.59766959830245	93.19176966516778	109.67214901485963
DL226	89.98415825381682	66.21798765502949	124.60033399492131	105.26053365319872
DL238	97.67542450667736	76.63825146636935	142.33197541496548	154.84033323978718
ECA36	115.29132438717366	75.51768468078404	194.50769555618132	299.16402029391355
ED3005	135.846377852081	41.046573066110604	104.62396426991701	122.20183140875424
ED3011	110.156309381973	25.078091181666142	84.08310400872853	100.18696415780715
ED3012	192.1860038644782	34.58147863316748	154.1233074783185	192.81375272196993
ED3017	101.1987719752701	5.858430456746798	77.73747179374543	71.37475142545621
ED3046	87.95551081556069	48.053763748195315	69.56445661471452	129.91377946141444
ED3048	103.95563485646872	65.93065512765719	145.64573312497748	150.59051019647362
ED3049	124.83619003279914	23.439474981589036	94.75875905091435	92.92492684849802
ED3052	149.04433865363305	95.50602765306839	257.5034212781671	315.51233094769094
ED3073	82.84245275727976	79.84451711467224	15.065003229183441	75.76190123956353
ED3077	108.81687275790611	15.55183087547022	58.80291975632004	157.6868358368948
EG4347	91.63753168461986	27.300737119902237	60.54128978723804	131.25871639913586
EG4349	169.8746497864373	7.645123752764954	83.60707336023754	56.36749742913601
EG4725	110.67562826835953	53.85594875166466	132.0528450905384	133.16925869334443
GXW1	200.83413795767206	44.17373828491019	170.80989020108106	171.24454101761867
JT11398	103.24942989620423	69.55338615509945	126.75275377962777	121.4976225790711
JU1172	117.93842714341953	10.892992254864646	102.00197947455256	29.291256173331035
JU1200	143.87793300576138	46.52773493184352	85.45710456866325	104.15623502415475
JU1242	496.125356882627	57.78306043356941	57.78306043356941	57.78306043356941
JU1246	214.43119794055795	48.44996564450005	81.9670118128737	147.83264109412042
JU1395	136.09239117142062	32.87970013863182	103.97058964156204	112.32244517478424
JU1409	170.78198699463488	58.41568575291441	107.13666415156618	153.13856489249815
JU1491	180.90801000419327	22.640797650569315	96.36613676269671	112.15151066422023
JU1530	77.99126856372631	32.437747773984846	105.58817897858331	112.58049960843465
JU1568	181.55335016112176	19.34734853906172	120.15686057656859	93.19255240251377
JU1581	94.53942700230945	32.346416376783445	78.4815952198273	104.73870128471629
JU1586	215.78666359431128	28.891852749468686	64.19806451142841	47.82851136277824
JU1652	136.73480929694196	40.865311302627745	77.32610127167324	60.877859933561076
JU1793	114.60737106354945	5.263496420664529	55.20881395635024	27.68072767627476
JU1896	114.29354526956348	8.649661252050121	118.19103769097767	134.62728401770653
JU2001	122.34597957021917	77.4652126677973	178.11744203546388	210.25694157590522
JU2007	91.89118606053478	44.422713712621004	56.87306217657041	28.375777924017395
JU2316	91.50299450846325	50.35684815143009	121.10320230126635	102.0873907006864
JU2464	76.74204757312917	91.17774163471901	207.4157376676928	222.91233395984497
JU2466	154.87880699391587	26.5911263383825	129.19706799048942	175.5337043297509
JU258	113.12708485749707	107.14011228499997	209.59232413452645	219.85282250999907
JU310	97.43716036353244	29.84786532643165	38.76062511205949	94.036375707872807
JU323	199.83460536224538	44.92037991393643	87.98800871206991	71.64139260043514
JU346	98.50492455643655	12.693525208039338	79.2262831288817	60.56640495530746
JU360	162.45695053613966	51.83628760356132	149.80741688325045	185.41856447062628
JU367	110.71525319382759	12.537173513588044	76.95521588605804	69.8776191202716
JU393	139.8920756164972	37.60155426223365	180.86925169746604	217.47820224859788
JU394	165.67383960927648	71.12769514476489	228.40169562157757	362.795080218044
JU397	154.02033399928754	55.89345716547298	76.69431337642116	72.72213821077362
JU406	89.22297960259505	13.913766478582115	119.53470025116192	141.34887821042264
JU440	174.80125180621047	27.00596388992239	112.44441180683366	154.88386326994805
JU642	184.85357533979115	65.47846757978516	132.51574124032015	131.01722047761035
JU774	143.77638182661934	75.50398654825295	149.67950484801554	185.37131006227716
JU775	83.12722450824769	42.65984228873981	142.2540800907683	112.16105089076825
JU778	134.54788868699316	94.04427350612576	186.6010110428714	246.1823372663033
JU847	150.99401458714348	28.08972214189127	88.79125831271237	109.10603315254562
KR314	113.97800621295049	49.624485708363636	89.60876785560222	92.2726483494746
LKC34	52.78646928701706	34.50995629085355	202.06317780853533	239.14668505668354
MY1	145.77464207801617	44.23824235950982	67.17300285366407	69.45485574016277
MY10	163.29601630840966	49.11789099049046	110.37071614170989	137.0730374818725
MY16	85.98497164116114	55.42767472204229	124.5244403365526	135.69022764957785
MY23	141.77687622494886	61.63347667960328	154.08467585058548	171.80924575764732
N2	154.2463876811673	100.41272689182387	216.845562501931	273.47378771075023
NIC1	238.47142657210065	9.103629853343662	184.9688343305607	171.59045654608173
NIC166	133.29646119885754	73.4866818537808	218.13318179966745	287.24870021521826
NIC199	172.4994194724142	11.401076494964263	151.6968354610788	170.4976872385251
NIC2	126.65595514766257	27.72284351394726	105.82875200848775	116.77854261264156
NIC207	156.9387146969589	70.72329990055545	79.05964386735577	136.54864251538007
NIC231	167.93632231324017	85.57752989816713	162.149979747801	191.8598093028628
NIC236	48.34206952839067	6.368340077511615	46.571670986842435	54.8823547879951
NIC256	73.98575050564686	84.63300970587873	297.0146165858458	320.795935194176
NIC267	66.39633432442406	66.07111413705842	170.09674067655146	194.28170076971273
NIC3	131.0608694849117	11.498592752002853	78.43903779248129	111.58252547026936
PB303	143.09919931020448	47.03801825625702	74.9190247478402	35.323922497553646
PB306	171.41853852243406	78.07197808431086	211.9419337059782	243.0535972357753
PS2025	132.54617027888284	34.50673274277738	131.1479453102497	154.5723141467455
QG536	148.29908828914463	27.55085722038279	150.43823930398486	194.7143635449685
QG556	147.1837686243555	66.1616256368145	210.88959386227646	253.33399163924875
QG557	125.36032751066847	55.96864190963595	159.87078452677932	139.23058145923267
QX1212	66.46033605529135	29.62769696333225	77.06721792533892	88.10611261319389
QX1233	220.4018712547076	46.49768943388575	95.17674365327042	106.523873877992
QX1791	207.77296771517982	81.43033636720351	86.20820314933992	82.61265005856794
QX1792	180.61757620320054	37.866967952511615	82.73404948500445	71.07267325430558
QX1793	226.33750888979455	11.132459183969333	154.31394195772205	112.25539946377104
QX1794	105.65881270745146	68.37067935004565	148.28410580354827	154.71380352343039
RC301	146.07741940027043	44.69475814014613	74.8432007870198	95.07491219253589
WN2001	183.60987123007914	61.62224288744797	151.98499730249412	98.53372113655472
