strain	ascr.1	ascr.3	ascr.5	ascr.7	ascr.8	ascr.9	ascr.10	ascr.11	ascr.12	ascr.15	ascr.18	ascr.22	ascr.81	anglas.3	anglas.7	bhas.10	bhas.11	bhas.12	bhas.16	bhas.18	bhas.22	bhas.26	bhos.10	bhos.18	bhos.22	glas.1	glas.3	icas.3	icas.9	icas.10	iglas.2	osas.2	osas.9	osas.10	oscr.1	oscr.9	oscr.10	oscr.11	oscr.12	oscr.14	oscr.18	oscr.19	oscr.21	uglas.11
BRC20067	78412.68019145804	213799.36771303916	525688.0057779396	12607.5255168958	357.218215546367	15814.339824321296	23152.415760171054	39353.180320806656	13600.224174510657	1034.339608642372	13259.848532780694	432.69996484527536	11678.878565459809	1427.9507055719803	653.9000799022274	621.0313639208492	2662.7624630993455	1789.2334585484964	121.35169880866059	2016.3747291120897	2649.8522705105192	656.989598237861	56.03716669412775	1261.113778643271	450.29436061407785	16.76034329036146	44.827383911700956	2175.0062242634604	3506.1334222237488	360.04929508586383	413.17608851895284	902.2274581400221	333.58574972237216	579.0556171801559	1268.0563844849416	9990.33344924705	1746.555815531932	287.16074416182647	5736.489600927974	21.40930481631944	8735.583725958642	16.005584533462407	245.7106854269112	64.25728249397386
CB4856	132717.35645249276	229057.94658279364	357994.50911775435	10988.322516039627	463.987337001182	27794.486986109805	35981.554335871435	34415.9016544044	26272.356138136955	12523.218518941392	8821.088206812998	104.21788942985825	33814.32656505436	2168.8362195685722	1722.8709187816921	776.1637013929538	5848.376326670815	1884.8186056773181	84.30625285302139	1310.5544530549898	1282.9296726684524	335.4204103738171	102.20405928570355	398.1913216095306	130.97524081490928	392.37431657192354	403.34794728168424	2920.7293446787266	33316.40706191211	772.3430907406778	146.41896419313454	3281.453400045656	5556.717491475009	3876.0650832154174	763.1435484912438	10370.791527895917	660.2812893099399	138.2917211113674	4703.7667082218195	117.27509331906903	3918.5364122404635	41.95915360959536	135.7286645642614	1489.4496975273983
CB4932	73215.02195720145	263620.45083607227	506595.926606669	22757.908859676707	423.460200093004	17934.76626188011	12758.959847715041	33038.312404781005	10006.127110984431	3616.1420709685945	4958.525991975965	108.86254159525755	13739.866136075985	212.51619717399512	304.1640057146561	489.61940480282794	4274.907344557869	1288.135278835321	46.8958548987302	847.1268499366629	897.9452500978333	254.23492755630605	489.61940480282794	263.1599090846116	72.97204648143085	458.62018070451387	5436.5683299920765	1431.316121289419	4410.560711488093	113.13446335880595	619.8097937157268	1381.5934928817237	1257.183696987158	970.5043970779546	262.68348658310066	3938.4577739908186	502.7686658445308	58.17118743448992	2179.585302162555	33.60366710657403	4250.65743923096	61.29969519441199	15.880750050365798	401.9735452748591
CX11254	94085.51675942876	114768.1088056825	604256.120567021	11042.11146067846	433.2597492669643	29905.122056086486	19415.884668675826	50287.08654383262	12022.831310589349	1919.70952881081	8162.810769125579	199.70462014229784	7855.370121473325	325.8440991632148	192.66037261595613	164.50365956161502	2684.937046650762	908.9674771512106	21.6721121363098	937.1890767688341	1421.9322585901496	468.81353053549503	164.50365956161502	657.6090972259453	351.5959539659032	180.16970918410095	1385.0645244151513	1297.7799305697552	3659.918491121369	471.2629982994043	19.42947029286307	2253.928050047655	576.022354718782	812.8866985708491	1222.835949978624	8396.92960026876	1351.9845433717605	502.26660931775916	4940.422374217194	19.92828574809625	10209.90073248008	21.440953754616377	19.90800869707051	4.055410205147791
CX11264	88742.93378122611	230077.51160662778	459915.3490172888	6507.024866877988	9611.194365505804	23192.624175605786	43119.33115871106	47071.688203822305	16070.575888834184	6329.1153589799615	9452.329239665678	121.03546896321185	13305.998815167373	995.4576233835475	350.4749289940903	302.2809825618561	8001.425867135573	1853.8475173979984	86.70375981121707	805.1757448288591	1081.189731048953	101.37570721296578	302.2809825618561	161.87724749214152	1081.189731048953	164.92175754901652	3949.5068654835372	1316.3295503352572	2957.741520254073	183.96613960691553	101.2461535935243	2005.1337565007982	528.2548832726748	454.76559264448963	865.25623584485	6182.298719747894	588.367762693526	131.88558459143664	3348.7991205382095	2930.3085413373374	5356.394395808396	162.20113154074525	100.24211304285274	32.38840486037245
CX11271	78178.14672166991	182629.2771776715	581209.664561923	11858.535490059072	6.408044813251632	16711.091505342003	17337.477885837347	34358.59059924447	12188.485717493399	2078.5454558503657	7143.432036020389	95.93483889919018	10267.353882480558	198.98260754108966	96.7807008145394	342.2344493413299	2492.0950359183726	1553.7394017346835	67.06018897067833	1051.0218780902796	1262.346379941692	569.3483736125942	111.3397786302471	865.2013945956088	492.2019221058579	265.7480264503584	2551.9077262052633	981.9303389138005	2561.494161245888	133.06305054717012	1281.4679856644348	3513.6270917780685	185.83970762911056	233.3745840538112	861.209182676953	8327.89503930182	1292.8486732527697	125.8219599081958	3984.2082706840156	24.984966726868112	10394.233169782941	36.692464600678846	35.46852804134778	42.88904393509317
CX11276	69845.82971208496	192998.70196263937	535590.0271646604	24012.596704854546	23.28652292020263	19876.537649859834	14429.144629659757	37474.30273979448	15624.441851153757	15927.492660437272	6172.931214824834	103.6716000407421	23727.10393385286	137.13433347707328	232.259779606101	723.0465366722916	2544.262207738419	1251.3245956400085	85.67111782342546	1302.322080835252	1645.2627038810763	470.99321258401835	723.0465366722916	761.3994399218653	102.27440866552995	23.28652292020263	3191.34810664501	1931.8033684141697	3590.1763846993204	23.28652292020263	979.7338788216852	2318.802092825017	211.93064509676412	150.94324156875342	593.8994805568478	9739.238913530946	845.9295181222009	298.2072125161149	4140.390348257868	53.86172751442868	5872.255630879178	127.07455557554574	23.28652292020263	99.48002591510563
CX11285	76967.03590797473	235140.43479166203	504277.0770230825	38936.800719850806	537.7255677874225	14768.991284836138	15933.361389647862	35390.05194478846	12402.666379209846	3931.2836547698353	6884.241449942025	205.6770550105381	4366.425666607787	1137.8719497906234	431.51574971104407	658.591528626719	7022.086627719289	2191.3577580030023	77.19972106111797	1208.895693166852	1579.7943163346158	526.7145739333229	31.729793610441146	816.6644498306399	243.69614699733455	340.8497531473996	1607.4917820070634	2709.0538935738336	5125.390997700392	382.3062394419938	55.50825203636102	2065.8834223774275	1689.8570379208336	2044.8435473285992	661.5567533867423	6773.187172305481	800.8562133711522	104.83108299687711	3240.1596443014587	19.528932495950084	6515.259835138225	113.8211911865021	72.27971437330848	9.443390955488434
CX11292	57512.025282134135	179073.7251971836	585286.4235256234	23326.692198556946	2240.9853739721957	19195.91875196373	15297.40222656697	39406.31700654801	11290.455029403136	13248.67071910504	6919.281546155726	92.78062174671403	8597.221380696272	192.9663891128175	25.447235805461887	387.9685570900719	2666.9466541198226	1025.574497431725	25.447235805461887	1031.09654760151	1020.6631809212709	464.36115897806854	387.9685570900719	797.2364505493155	104.4863502172265	156.72952532583977	2279.1562276803884	2243.7336754391854	2470.5194409374617	25.447235805461887	228.38894135402046	1515.9936258745865	25.447235805461887	85.45181783474102	674.7080101460165	8380.512720576959	1058.0451703194942	166.85752517641362	3413.339527529825	53.159275597609884	7477.059507775644	76.49439083121844	25.447235805461887	25.447235805461887
CX11314	65116.010775765884	173200.2399099439	609966.0622915416	11615.975307368928	56.89251358780984	14205.682865541241	12191.313872420502	36261.352836450125	9289.8584331523125	7972.206231182358	7719.296228687773	116.30772632213406	11629.241441686667	2067.6845452321463	489.96841781480435	355.97669598302457	2228.53485499199	1097.775752478483	12.550742022459703	931.9176966516778	1096.7214901485963	198.13856430857132	53.98074143859918	616.5677525953554	184.70927034453945	280.170214167368	4061.344814015825	1168.0850092883022	2177.541190154736	105.20031963225723	637.8161588393796	2357.9957589536616	42.15794245344214	76.15790259228548	786.4169443853026	5592.673398918157	843.7738354279435	41.65591277254375	3497.389771978621	43.1996540413063	8950.712282221408	70.99954762105455	60.7957943567948	530.9465905181353
